preferredName_A,preferredName_B,score
PSMA2,UBB,0.967
PSMA2,ADRM1,0.972
PSMA2,RPS27A,0.975
PSMA2,PSMF1,0.978
PSMA2,PSME1,0.992
PSMA2,DESI1,0.994
PSMA2,POMP,0.995
PSMA2,PSMA8,0.996
PSMA2,USP14,0.997
PSMA2,PSME4,0.998
PSMA2,UCHL5,0.998
PSMA2,PSMB1,0.999
PSMA2,PSMD12,0.999
PSMA2,PSMA6,0.999
PSMA2,PSMD13,0.999
PSMA2,PSMA5,0.999
PSMA2,PSMD2,0.999
PSMA2,PSMD1,0.999
PSMA2,PSMB8,0.999
PSMA2,PSMC1,0.999
PSMA2,PSMD14,0.999
PSMA2,PSMB9,0.999
PSMA2,PSMB2,0.999
PSMA2,PSMB3,0.999
PSMA2,PSMC6,0.999
PSMA2,PSMC3,0.999
PSMA2,PSMC5,0.999
PSMA2,PSMD11,0.999
PSMA2,PSMB10,0.999
PSMA2,PSMD4,0.999
PSMA2,PSMC2,0.999
PSMA2,PSMA7,0.999
PSMA2,PSMD3,0.999
PSMA2,PSMD6,0.999
PSMA2,PSMB4,0.999
PSMA2,PSMB5,0.999
PSMA2,PSMB7,0.999
PSMA2,PSMA1,0.999
PSMA2,PSMB6,0.999
PSMB7,PSMB10,0.822
PSMB7,PSMG1,0.888
PSMB7,ADRM1,0.921
PSMB7,UBC,0.929
PSMB7,UBA52,0.934
PSMB7,UBB,0.934
PSMB7,PSMG2,0.956
PSMB7,RPS27A,0.959
PSMB7,PSME1,0.988
PSMB7,USP14,0.988
PSMB7,PSME4,0.989
PSMB7,PSMF1,0.99
PSMB7,DESI1,0.994
PSMB7,UCHL5,0.997
PSMB7,PSMC5,0.997
PSMB7,PSMC1,0.997
PSMB7,PSMD1,0.998
PSMB7,PSMB5,0.999
PSMB7,PSMB4,0.999
PSMB7,PSMD6,0.999
PSMB7,PSMA1,0.999
PSMB7,PSMB6,0.999
PSMB7,PSMC3,0.999
PSMB7,PSMD11,0.999
PSMB7,PSMD3,0.999
PSMB7,PSMA7,0.999
PSMB7,PSMC2,0.999
PSMB7,PSMD4,0.999
PSMB7,PSMB9,0.999
PSMB7,PSMD14,0.999
PSMB7,PSMB8,0.999
PSMB7,PSMB2,0.999
PSMB7,PSMC6,0.999
PSMB7,PSMB3,0.999
PSMB7,POMP,0.999
PSMB7,PSMA8,0.999
PSMB7,PSMB1,0.999
PSMB7,PSMD13,0.999
PSMB7,PSMA6,0.999
PSMB7,PSMD12,0.999
PSMB7,PSMA5,0.999
PSMB7,PSMD2,0.999
PSMC1,PSME4,0.768
PSMC1,PSME1,0.8
PSMC1,PSMB10,0.894
PSMC1,RPS27A,0.96
PSMC1,UBA52,0.96
PSMC1,UBB,0.961
PSMC1,UBC,0.963
PSMC1,PSMB8,0.975
PSMC1,PSMA8,0.984
PSMC1,PSMB9,0.986
PSMC1,DESI1,0.994
PSMC1,UBQLN4,0.995
PSMC1,UCHL5,0.998
PSMC1,PSMD1,0.999
PSMC1,PSMD14,0.999
PSMC1,PSMB2,0.999
PSMC1,PSMC6,0.999
PSMC1,PSMB3,0.999
PSMC1,PSMB1,0.999
PSMC1,PSMD12,0.999
PSMC1,PSMD13,0.999
PSMC1,PSMA6,0.999
PSMC1,PSMA5,0.999
PSMC1,PSMD2,0.999
PSMC1,PSMD6,0.999
PSMC1,PSMB4,0.999
PSMC1,PSMB5,0.999
PSMC1,PSMA1,0.999
PSMC1,ADRM1,0.999
PSMC1,PSMB6,0.999
PSMC1,PSMC3,0.999
PSMC1,PSMC5,0.999
PSMC1,PSMD11,0.999
PSMC1,PSMD4,0.999
PSMC1,PSMC2,0.999
PSMC1,PSMA7,0.999
PSMC1,PSMD3,0.999
PSMC1,USP14,0.999
PSMA6,PSMG1,0.725
PSMA6,UBA52,0.95
PSMA6,UBB,0.951
PSMA6,PSMF1,0.958
PSMA6,PSMG2,0.964
PSMA6,UBC,0.966
PSMA6,ADRM1,0.967
PSMA6,RPS27A,0.98
PSMA6,PSMA8,0.993
PSMA6,PSME1,0.993
PSMA6,DESI1,0.994
PSMA6,UBQLN4,0.994
PSMA6,PSME4,0.994
PSMA6,USP14,0.995
PSMA6,UCHL5,0.997
PSMA6,PSMD3,0.997
PSMA6,PSMD13,0.998
PSMA6,PSMD2,0.998
PSMA6,PSMB2,0.999
PSMA6,PSMD1,0.999
PSMA6,PSMB8,0.999
PSMA6,PSMB9,0.999
PSMA6,PSMD14,0.999
PSMA6,POMP,0.999
PSMA6,PSMC6,0.999
PSMA6,PSMB3,0.999
PSMA6,PSMD12,0.999
PSMA6,PSMB1,0.999
PSMA6,PSMA5,0.999
PSMA6,PSMD6,0.999
PSMA6,PSMB5,0.999
PSMA6,PSMB4,0.999
PSMA6,PSMB6,0.999
PSMA6,PSMA1,0.999
PSMA6,PSMD11,0.999
PSMA6,PSMC3,0.999
PSMA6,PSMC5,0.999
PSMA6,PSMD4,0.999
PSMA6,PSMA7,0.999
PSMA6,PSMC2,0.999
PSMA6,PSMB10,0.999
USP14,PSMF1,0.707
USP14,PSME1,0.795
USP14,PSMB8,0.831
USP14,PSMB10,0.838
USP14,PSMA8,0.842
USP14,PSMB9,0.862
USP14,PSME4,0.882
USP14,PSMB4,0.982
USP14,PSMB6,0.985
USP14,UBA52,0.985
USP14,PSMA7,0.985
USP14,PSMA5,0.989
USP14,PSMB3,0.99
USP14,PSMB5,0.99
USP14,PSMB1,0.991
USP14,RPS27A,0.993
USP14,PSMB2,0.995
USP14,UBB,0.995
USP14,ADRM1,0.997
USP14,UBC,0.998
USP14,PSMA1,0.998
USP14,PSMD1,0.999
USP14,PSMD14,0.999
USP14,PSMC6,0.999
USP14,PSMD12,0.999
USP14,PSMD13,0.999
USP14,PSMD2,0.999
USP14,PSMD6,0.999
USP14,UCHL5,0.999
USP14,PSMC5,0.999
USP14,PSMC3,0.999
USP14,PSMD11,0.999
USP14,PSMC2,0.999
USP14,PSMD4,0.999
USP14,PSMD3,0.999
PSMD11,PSME1,0.734
PSMD11,PSME4,0.85
PSMD11,PSMA8,0.867
PSMD11,PSMB8,0.903
PSMD11,PSMB10,0.904
PSMD11,UBA52,0.943
PSMD11,UBB,0.953
PSMD11,UBC,0.959
PSMD11,RPS27A,0.975
PSMD11,PSMB9,0.977
PSMD11,DESI1,0.994
PSMD11,PSMB5,0.994
PSMD11,PSMB6,0.995
PSMD11,UBQLN4,0.996
PSMD11,PSMA7,0.997
PSMD11,PSMB3,0.998
PSMD11,PSMA1,0.998
PSMD11,UCHL5,0.998
PSMD11,PSMC6,0.999
PSMD11,PSMD14,0.999
PSMD11,PSMD1,0.999
PSMD11,PSMB2,0.999
PSMD11,PSMA5,0.999
PSMD11,PSMD2,0.999
PSMD11,PSMB1,0.999
PSMD11,PSMD13,0.999
PSMD11,PSMD12,0.999
PSMD11,ADRM1,0.999
PSMD11,PSMB4,0.999
PSMD11,PSMD6,0.999
PSMD11,PSMD3,0.999
PSMD11,PSMD4,0.999
PSMD11,PSMC2,0.999
PSMD11,PSMC3,0.999
PSMD11,PSMC5,0.999
PSMB1,PSMG1,0.926
PSMB1,UBA52,0.943
PSMB1,PSMG2,0.952
PSMB1,UBC,0.954
PSMB1,UBB,0.957
PSMB1,RPS27A,0.969
PSMB1,ADRM1,0.98
PSMB1,PSMF1,0.986
PSMB1,PSME1,0.986
PSMB1,PSME4,0.988
PSMB1,DESI1,0.994
PSMB1,UBQLN4,0.995
PSMB1,UCHL5,0.997
PSMB1,PSMA8,0.998
PSMB1,PSMC5,0.998
PSMB1,PSMD13,0.999
PSMB1,PSMD12,0.999
PSMB1,PSMA5,0.999
PSMB1,PSMD2,0.999
PSMB1,PSMB9,0.999
PSMB1,PSMD14,0.999
PSMB1,PSMB8,0.999
PSMB1,PSMD1,0.999
PSMB1,PSMB2,0.999
PSMB1,PSMB3,0.999
PSMB1,PSMC6,0.999
PSMB1,POMP,0.999
PSMB1,PSMC3,0.999
PSMB1,PSMB10,0.999
PSMB1,PSMD3,0.999
PSMB1,PSMA7,0.999
PSMB1,PSMC2,0.999
PSMB1,PSMD4,0.999
PSMB1,PSMB5,0.999
PSMB1,PSMB4,0.999
PSMB1,PSMD6,0.999
PSMB1,PSMA1,0.999
PSMB1,PSMB6,0.999
DESI1,PSMC5,0.994
DESI1,PSMC3,0.994
DESI1,PSMA7,0.994
DESI1,PSMC2,0.994
DESI1,PSMD4,0.994
DESI1,PSMB5,0.994
DESI1,PSMA1,0.994
DESI1,PSMD12,0.994
DESI1,PSMA8,0.994
DESI1,PSMA5,0.994
DESI1,PSMB3,0.994
DESI1,UBQLN4,0.997
PSMD3,PSME1,0.754
PSMD3,PSME4,0.854
PSMD3,PSMB10,0.857
PSMD3,PSMB8,0.909
PSMD3,UBA52,0.927
PSMD3,PSMA8,0.939
PSMD3,RPS27A,0.966
PSMD3,PSMB9,0.974
PSMD3,UBB,0.985
PSMD3,UBC,0.987
PSMD3,PSMB5,0.992
PSMD3,PSMB6,0.995
PSMD3,PSMA7,0.995
PSMD3,UBQLN4,0.996
PSMD3,PSMA1,0.997
PSMD3,UCHL5,0.998
PSMD3,PSMB4,0.998
PSMD3,PSMB2,0.998
PSMD3,ADRM1,0.999
PSMD3,PSMD6,0.999
PSMD3,PSMD4,0.999
PSMD3,PSMC2,0.999
PSMD3,PSMC3,0.999
PSMD3,PSMC5,0.999
PSMD3,PSMC6,0.999
PSMD3,PSMB3,0.999
PSMD3,PSMD1,0.999
PSMD3,PSMD14,0.999
PSMD3,PSMD2,0.999
PSMD3,PSMA5,0.999
PSMD3,PSMD12,0.999
PSMD3,PSMD13,0.999
PSMB6,PSMG2,0.782
PSMB6,PSMB9,0.917
PSMB6,UCHL5,0.919
PSMB6,PSMF1,0.924
PSMB6,UBA52,0.942
PSMB6,ADRM1,0.945
PSMB6,UBC,0.946
PSMB6,UBB,0.947
PSMB6,RPS27A,0.962
PSMB6,PSME1,0.979
PSMB6,PSME4,0.991
PSMB6,PSMB10,0.993
PSMB6,PSMC5,0.996
PSMB6,PSMD6,0.996
PSMB6,PSMD2,0.996
PSMB6,PSMD12,0.997
PSMB6,PSMD1,0.997
PSMB6,PSMC2,0.998
PSMB6,PSMC3,0.998
PSMB6,PSMD13,0.998
PSMB6,POMP,0.998
PSMB6,PSMA7,0.999
PSMB6,PSMD4,0.999
PSMB6,PSMA1,0.999
PSMB6,PSMB5,0.999
PSMB6,PSMB4,0.999
PSMB6,PSMA5,0.999
PSMB6,PSMA8,0.999
PSMB6,PSMC6,0.999
PSMB6,PSMB3,0.999
PSMB6,PSMB2,0.999
PSMB6,PSMD14,0.999
PSMB6,PSMB8,0.999
PSMA5,PSMG1,0.923
PSMA5,UBB,0.948
PSMA5,UBA52,0.95
PSMA5,UBC,0.951
PSMA5,RPS27A,0.962
PSMA5,ADRM1,0.975
PSMA5,PSMF1,0.978
PSMA5,PSME1,0.986
PSMA5,PSME4,0.992
PSMA5,POMP,0.993
PSMA5,UBQLN4,0.994
PSMA5,PSMG2,0.995
PSMA5,PSMA8,0.997
PSMA5,UCHL5,0.997
PSMA5,PSMD2,0.999
PSMA5,PSMD12,0.999
PSMA5,PSMD13,0.999
PSMA5,PSMC6,0.999
PSMA5,PSMB3,0.999
PSMA5,PSMD1,0.999
PSMA5,PSMD14,0.999
PSMA5,PSMB9,0.999
PSMA5,PSMB8,0.999
PSMA5,PSMB2,0.999
PSMA5,PSMB10,0.999
PSMA5,PSMC2,0.999
PSMA5,PSMA7,0.999
PSMA5,PSMD4,0.999
PSMA5,PSMC5,0.999
PSMA5,PSMC3,0.999
PSMA5,PSMA1,0.999
PSMA5,PSMD6,0.999
PSMA5,PSMB4,0.999
PSMA5,PSMB5,0.999
RPS27A,PSMB8,0.717
RPS27A,PSMB10,0.725
RPS27A,PSMB9,0.734
RPS27A,UCHL5,0.906
RPS27A,PSMB5,0.943
RPS27A,PSMA7,0.955
RPS27A,PSMC6,0.964
RPS27A,PSMD6,0.965
RPS27A,PSMB3,0.965
RPS27A,PSMD13,0.965
RPS27A,PSMB4,0.967
RPS27A,PSMB2,0.967
RPS27A,PSMA1,0.969
RPS27A,PSMD12,0.97
RPS27A,PSMC5,0.975
RPS27A,PSMC3,0.975
RPS27A,PSMD1,0.976
RPS27A,PSMC2,0.978
RPS27A,PSMD14,0.987
RPS27A,PSMD2,0.996
RPS27A,ADRM1,0.998
RPS27A,PSMD4,0.999
PSMB4,PSMG1,0.899
PSMB4,UBA52,0.94
PSMB4,UBC,0.954
PSMB4,UBB,0.957
PSMB4,ADRM1,0.967
PSMB4,PSMG2,0.974
PSMB4,PSMF1,0.987
PSMB4,PSME4,0.991
PSMB4,PSME1,0.994
PSMB4,UCHL5,0.997
PSMB4,PSMC5,0.998
PSMB4,PSMC3,0.998
PSMB4,PSMD2,0.998
PSMB4,PSMA8,0.998
PSMB4,PSMD1,0.998
PSMB4,PSMB10,0.999
PSMB4,PSMA7,0.999
PSMB4,PSMC2,0.999
PSMB4,PSMD4,0.999
PSMB4,PSMA1,0.999
PSMB4,PSMD6,0.999
PSMB4,PSMB5,0.999
PSMB4,PSMD12,0.999
PSMB4,PSMD13,0.999
PSMB4,PSMB3,0.999
PSMB4,PSMC6,0.999
PSMB4,POMP,0.999
PSMB4,PSMB9,0.999
PSMB4,PSMD14,0.999
PSMB4,PSMB8,0.999
PSMB4,PSMB2,0.999
PSMD1,PSME4,0.818
PSMD1,PSMB10,0.861
PSMD1,PSME1,0.863
PSMD1,PSMA8,0.924
PSMD1,UBA52,0.94
PSMD1,PSMB8,0.948
PSMD1,UBB,0.957
PSMD1,UBC,0.966
PSMD1,PSMB9,0.972
PSMD1,UCHL5,0.975
PSMD1,UBQLN4,0.996
PSMD1,PSMB5,0.997
PSMD1,PSMA7,0.998
PSMD1,PSMB3,0.998
PSMD1,PSMA1,0.999
PSMD1,ADRM1,0.999
PSMD1,PSMD6,0.999
PSMD1,PSMC2,0.999
PSMD1,PSMD4,0.999
PSMD1,PSMC5,0.999
PSMD1,PSMC3,0.999
PSMD1,PSMC6,0.999
PSMD1,PSMD14,0.999
PSMD1,PSMB2,0.999
PSMD1,PSMD2,0.999
PSMD1,PSMD12,0.999
PSMD1,PSMD13,0.999
PSMD2,UBQLN4,0.783
PSMD2,PSME4,0.83
PSMD2,PSMB10,0.868
PSMD2,PSMB8,0.934
PSMD2,PSMA8,0.962
PSMD2,PSMB9,0.971
PSMD2,UBB,0.984
PSMD2,UBC,0.989
PSMD2,UBA52,0.99
PSMD2,PSMB3,0.998
PSMD2,PSMA7,0.998
PSMD2,UCHL5,0.998
PSMD2,PSMD12,0.999
PSMD2,PSMD13,0.999
PSMD2,PSMC6,0.999
PSMD2,PSMB2,0.999
PSMD2,PSMD4,0.999
PSMD2,PSMC2,0.999
PSMD2,PSMC3,0.999
PSMD2,PSMC5,0.999
PSMD2,PSMA1,0.999
PSMD2,ADRM1,0.999
PSMD2,PSMD6,0.999
PSMC5,PSME4,0.715
PSMC5,PSME1,0.842
PSMC5,PSMB10,0.871
PSMC5,PSMB9,0.924
PSMC5,UBB,0.95
PSMC5,PSMA8,0.965
PSMC5,UBA52,0.966
PSMC5,UBC,0.967
PSMC5,PSMB8,0.981
PSMC5,UBQLN4,0.995
PSMC5,PSMA7,0.996
PSMC5,UCHL5,0.998
PSMC5,PSMA1,0.998
PSMC5,ADRM1,0.998
PSMC5,PSMB3,0.998
PSMC5,PSMC3,0.999
PSMC5,PSMD4,0.999
PSMC5,PSMC2,0.999
PSMC5,PSMB5,0.999
PSMC5,PSMD6,0.999
PSMC5,PSMD13,0.999
PSMC5,PSMD12,0.999
PSMC5,PSMD14,0.999
PSMC5,PSMB2,0.999
PSMC5,PSMC6,0.999
PSMA8,PSMF1,0.833
PSMA8,PSMG2,0.853
PSMA8,POMP,0.865
PSMA8,ADRM1,0.869
PSMA8,PSMD12,0.923
PSMA8,PSMD13,0.932
PSMA8,PSMC6,0.959
PSMA8,PSMD6,0.961
PSMA8,PSME4,0.963
PSMA8,PSMD14,0.969
PSMA8,PSMC3,0.975
PSMA8,PSMA7,0.977
PSMA8,PSMC2,0.98
PSMA8,PSMD4,0.981
PSMA8,PSMB10,0.989
PSMA8,PSMB5,0.991
PSMA8,PSMB8,0.994
PSMA8,UBQLN4,0.994
PSMA8,PSMB9,0.997
PSMA8,PSMB3,0.998
PSMA8,PSMB2,0.998
PSMA8,PSMA1,0.999
PSMG2,PSMD13,0.713
PSMG2,PSMB10,0.737
PSMG2,PSME1,0.806
PSMG2,PSMF1,0.828
PSMG2,PSMC3,0.849
PSMG2,PSMB8,0.878
PSMG2,PSMA7,0.925
PSMG2,PSMB5,0.936
PSMG2,PSMB3,0.937
PSMG2,PSMB9,0.947
PSMG2,PSMB2,0.981
PSMG2,PSMA1,0.995
PSMG2,POMP,0.997
PSMG2,PSMG1,0.999
PSMG1,PSMB3,0.842
PSMG1,PSMB2,0.846
PSMG1,PSMB9,0.908
PSMG1,PSMA7,0.916
PSMG1,PSMA1,0.935
PSMG1,POMP,0.961
PSMF1,PSMD4,0.713
PSMF1,UCHL5,0.802
PSMF1,PSME4,0.826
PSMF1,PSMB8,0.84
PSMF1,PSMB10,0.878
PSMF1,PSMB5,0.928
PSMF1,PSMB9,0.958
PSMF1,PSMB3,0.976
PSMF1,PSMA7,0.981
PSMF1,PSMB2,0.983
PSMF1,PSMA1,0.985
PSMD12,PSME1,0.704
PSMD12,POMP,0.741
PSMD12,PSME4,0.858
PSMD12,PSMB10,0.923
PSMD12,UBA52,0.944
PSMD12,UBB,0.953
PSMD12,UBC,0.958
PSMD12,PSMB8,0.968
PSMD12,PSMB9,0.985
PSMD12,UBQLN4,0.996
PSMD12,PSMB5,0.997
PSMD12,PSMA7,0.997
PSMD12,UCHL5,0.998
PSMD12,PSMB3,0.998
PSMD12,PSMA1,0.999
PSMD12,ADRM1,0.999
PSMD12,PSMD6,0.999
PSMD12,PSMC2,0.999
PSMD12,PSMD4,0.999
PSMD12,PSMC3,0.999
PSMD12,PSMC6,0.999
PSMD12,PSMD14,0.999
PSMD12,PSMB2,0.999
PSMD12,PSMD13,0.999
PSMB10,UBB,0.709
PSMB10,PSMC3,0.844
PSMB10,PSMD13,0.867
PSMB10,ADRM1,0.884
PSMB10,PSMC6,0.918
PSMB10,PSMC2,0.935
PSMB10,PSME4,0.941
PSMB10,PSMD6,0.961
PSMB10,PSMD14,0.963
PSMB10,PSME1,0.983
PSMB10,PSMD4,0.989
PSMB10,PSMB5,0.992
PSMB10,PSMA7,0.993
PSMB10,PSMB3,0.999
PSMB10,POMP,0.999
PSMB10,PSMB8,0.999
PSMB10,PSMB9,0.999
PSMB10,PSMB2,0.999
PSMB10,PSMA1,0.999
PSMB5,UBA52,0.936
PSMB5,UBC,0.936
PSMB5,UBB,0.943
PSMB5,UCHL5,0.947
PSMB5,ADRM1,0.961
PSMB5,PSMB8,0.962
PSMB5,PSME1,0.988
PSMB5,UBQLN4,0.994
PSMB5,PSME4,0.995
PSMB5,PSMD13,0.995
PSMB5,PSMD6,0.997
PSMB5,PSMB9,0.997
PSMB5,PSMD4,0.998
PSMB5,PSMA1,0.999
PSMB5,PSMC3,0.999
PSMB5,PSMC2,0.999
PSMB5,PSMA7,0.999
PSMB5,PSMB2,0.999
PSMB5,POMP,0.999
PSMB5,PSMB3,0.999
PSMB5,PSMC6,0.999
UCHL5,PSME1,0.765
UCHL5,PSMB9,0.774
UCHL5,PSMB8,0.82
UCHL5,UBA52,0.847
UCHL5,PSME4,0.887
UCHL5,UBC,0.965
UCHL5,PSMA7,0.997
UCHL5,PSMB3,0.997
UCHL5,PSMC2,0.998
UCHL5,PSMC3,0.998
UCHL5,PSMA1,0.998
UCHL5,PSMD6,0.998
UCHL5,PSMD13,0.998
UCHL5,PSMC6,0.998
UCHL5,PSMB2,0.998
UCHL5,PSMD4,0.999
UCHL5,ADRM1,0.999
UCHL5,PSMD14,0.999
UBQLN4,UBC,0.764
UBQLN4,PSMB3,0.994
UBQLN4,PSMA7,0.994
UBQLN4,PSMC6,0.995
UBQLN4,PSMA1,0.995
UBQLN4,PSMC3,0.995
UBQLN4,PSMD13,0.996
UBQLN4,PSMD6,0.996
UBQLN4,PSMC2,0.996
UBQLN4,PSMD14,0.997
UBQLN4,PSMD4,0.999
PSMD4,POMP,0.745
PSMD4,PSME1,0.83
PSMD4,PSMB8,0.973
PSMD4,PSME4,0.991
PSMD4,PSMB9,0.992
PSMD4,UBA52,0.994
PSMD4,UBB,0.996
PSMD4,PSMD13,0.999
PSMD4,PSMB2,0.999
PSMD4,PSMD14,0.999
PSMD4,UBC,0.999
PSMD4,PSMC6,0.999
PSMD4,PSMB3,0.999
PSMD4,PSMC3,0.999
PSMD4,PSMC2,0.999
PSMD4,PSMA7,0.999
PSMD4,PSMD6,0.999
PSMD4,ADRM1,0.999
PSMD4,PSMA1,0.999
PSMA7,UBB,0.932
PSMA7,UBA52,0.934
PSMA7,ADRM1,0.937
PSMA7,UBC,0.942
PSMA7,PSME1,0.992
PSMA7,PSME4,0.993
PSMA7,PSMD13,0.997
PSMA7,PSMD6,0.997
PSMA7,PSMC3,0.997
PSMA7,PSMD14,0.998
PSMA7,POMP,0.999
PSMA7,PSMB3,0.999
PSMA7,PSMC6,0.999
PSMA7,PSMB2,0.999
PSMA7,PSMB9,0.999
PSMA7,PSMB8,0.999
PSMA7,PSMA1,0.999
PSMA7,PSMC2,0.999
PSMB2,UBA52,0.948
PSMB2,PSME1,0.984
PSMB2,UBB,0.986
PSMB2,ADRM1,0.987
PSMB2,UBC,0.988
PSMB2,PSME4,0.995
PSMB2,PSMC3,0.999
PSMB2,PSMC2,0.999
PSMB2,PSMD6,0.999
PSMB2,PSMA1,0.999
PSMB2,PSMD13,0.999
PSMB2,PSMB8,0.999
PSMB2,PSMD14,0.999
PSMB2,PSMB9,0.999
PSMB2,POMP,0.999
PSMB2,PSMB3,0.999
PSMB2,PSMC6,0.999
PSMB9,UBC,0.721
PSMB9,UBB,0.735
PSMB9,ADRM1,0.911
PSMB9,PSMC3,0.956
PSMB9,PSMC2,0.963
PSMB9,PSMC6,0.975
PSMB9,PSMD6,0.976
PSMB9,PSMD13,0.983
PSMB9,PSMD14,0.985
PSMB9,PSME1,0.993
PSMB9,PSME4,0.993
PSMB9,PSMA1,0.999
PSMB9,PSMB8,0.999
PSMB9,PSMB3,0.999
PSMB9,POMP,0.999
PSMB8,UBB,0.704
PSMB8,ADRM1,0.932
PSMB8,PSMD13,0.938
PSMB8,PSMC6,0.954
PSMB8,PSMD6,0.955
PSMB8,PSMC3,0.966
PSMB8,PSMD14,0.97
PSMB8,PSMC2,0.972
PSMB8,PSME1,0.985
PSMB8,PSME4,0.986
PSMB8,POMP,0.999
PSMB8,PSMB3,0.999
PSMB8,PSMA1,0.999
POMP,PSMC2,0.731
POMP,PSME4,0.755
POMP,PSMD14,0.792
POMP,PSMC3,0.818
POMP,PSMA1,0.999
POMP,PSMB3,0.999
PSME1,PSMC2,0.702
PSME1,PSMC6,0.721
PSME1,UBA52,0.723
PSME1,PSMD13,0.737
PSME1,PSMC3,0.808
PSME1,ADRM1,0.814
PSME1,PSME4,0.843
PSME1,PSMD6,0.878
PSME1,PSMD14,0.94
PSME1,PSMB3,0.98
PSME1,PSMA1,0.996
PSME4,PSMC2,0.776
PSME4,PSMC3,0.793
PSME4,PSMD6,0.798
PSME4,PSMD13,0.828
PSME4,PSMC6,0.831
PSME4,ADRM1,0.883
PSME4,PSMD14,0.94
PSME4,PSMB3,0.985
PSME4,PSMA1,0.999
PSMD14,UBA52,0.972
PSMD14,UBB,0.99
PSMD14,UBC,0.997
PSMD14,PSMC2,0.999
PSMD14,PSMC3,0.999
PSMD14,ADRM1,0.999
PSMD14,PSMA1,0.999
PSMD14,PSMD6,0.999
PSMD14,PSMD13,0.999
PSMD14,PSMC6,0.999
PSMD14,PSMB3,0.999
UBA52,PSMD6,0.928
UBA52,PSMD13,0.929
UBA52,PSMC3,0.934
UBA52,PSMC2,0.937
UBA52,PSMB3,0.955
UBA52,PSMA1,0.961
UBA52,PSMC6,0.962
UBA52,ADRM1,0.993
PSMC2,UBB,0.96
PSMC2,UBC,0.975
PSMC2,PSMC6,0.999
PSMC2,PSMB3,0.999
PSMC2,PSMD13,0.999
PSMC2,PSMD6,0.999
PSMC2,PSMA1,0.999
PSMC2,ADRM1,0.999
PSMC2,PSMC3,0.999
PSMD13,UBB,0.948
PSMD13,UBC,0.953
PSMD13,PSMD6,0.999
PSMD13,PSMA1,0.999
PSMD13,ADRM1,0.999
PSMD13,PSMC3,0.999
PSMD13,PSMC6,0.999
PSMD13,PSMB3,0.999
PSMA1,UBC,0.95
PSMA1,UBB,0.954
PSMA1,ADRM1,0.983
PSMA1,PSMC6,0.999
PSMA1,PSMB3,0.999
PSMA1,PSMD6,0.999
PSMA1,PSMC3,0.999
PSMD6,UBB,0.948
PSMD6,UBC,0.951
PSMD6,PSMB3,0.998
PSMD6,ADRM1,0.999
PSMD6,PSMC3,0.999
PSMD6,PSMC6,0.999
UBC,PSMB3,0.952
UBC,PSMC6,0.953
UBC,PSMC3,0.971
UBC,ADRM1,0.993
UBB,PSMB3,0.952
UBB,PSMC6,0.952
UBB,PSMC3,0.959
UBB,ADRM1,0.988
ADRM1,PSMB3,0.965
ADRM1,PSMC3,0.998
ADRM1,PSMC6,0.999
PSMC3,PSMC6,0.999
PSMC3,PSMB3,0.999
PSMB3,PSMC6,0.999
CYP26B1,UGT2A2,0.702
CYP26A1,UGT2B28,0.701
CYP26A1,UGT1A3,0.704
CYP26A1,UGT1A5,0.704
CYP26A1,UGT2B11,0.705
UGT2A3,CYP4A22,0.71
UGT2A3,CYP2S1,0.713
UGT2A3,CYP4A11,0.732
UGT2A3,CYP2C18,0.81
UGT2A3,CYP2C8,0.85
UGT2A3,CYP2C9,0.88
CYP2C9,UGT2A2,0.876
CYP2C9,UGT2B28,0.877
CYP2C9,UGT2B17,0.88
CYP2C9,UGT1A5,0.881
CYP2C9,UGT2B10,0.883
CYP2C9,UGT1A3,0.898
UGT2B10,CYP4A11,0.73
UGT2B10,CYP2C18,0.797
UGT2B10,CYP2C8,0.861
CYP2C18,UGT2B11,0.794
CYP2C18,UGT2A2,0.796
CYP2C18,UGT2B28,0.798
CYP2C18,UGT1A5,0.807
CYP2C18,UGT2B17,0.823
CYP2C18,UGT1A7,0.824
CYP2C18,UGT1A3,0.834
CYP2C18,UGT1A10,0.841
CYP2C18,UGT1A1,0.847
UGT1A1,CYP4A22,0.705
UGT1A1,CYP2S1,0.722
UGT1A1,CYP4A11,0.757
CYP2S1,UGT1A3,0.7
CYP2S1,UGT1A7,0.722
CYP2S1,UGT2B17,0.732
CYP2S1,UGT1A10,0.751
CYP4A11,UGT2B11,0.717
CYP4A11,UGT1A5,0.719
CYP4A11,UGT2A2,0.721
CYP4A11,UGT2B28,0.723
CYP4A11,UGT1A3,0.741
CYP4A11,UGT2B17,0.753
CYP4A11,UGT1A7,0.758
CYP4A11,UGT1A10,0.758
UGT2B17,CYP2C8,0.864
UGT2B28,CYP4A22,0.709
UGT2B28,CYP2C8,0.846
UGT2B28,AOX1,0.938
CYP3A7,UGT1A5,0.754
UGT1A10,CYP4A22,0.705
CYP2C8,UGT2A2,0.841
CYP2C8,UGT1A5,0.843
CYP2C8,UGT1A3,0.88
CYP2C19,UGT1A3,0.725
CYP4A22,UGT1A3,0.71
CYP4A22,UGT1A5,0.713
CYP4A22,UGT1A7,0.719
UGT1A5,AOX1,0.94
AOX1,UGT2A2,0.936
AOX1,UGT2B11,0.937
AOX1,UGT1A3,0.941
ANOS1,TACR3,0.718
GNRH1,PDYN,0.718
GNRH1,TACR3,0.905
